Player,Discord Name,Twitch Name,FF1 Placing,FF2 Placing,BB1 Placing,FF3 Placing,BB2 Placing
_teejaay_,_teejaay_,teejaay1311,-1,-1,5,-1,-1
3ps1l0,3ps1l0n,3ps1l0,17,33,-1,33,-1
55Spyder,55Spyder,55Spyder,-1,79,-1,66,-1
8bitmaster_,8bitmaster_,8bitmaster_,-1,79,-1,-1,-1
a_Press,a_press,a_Press,5,-1,-1,-1,-1
aBrinkk,abrinkk,aBrinkk,17,33,9,-1,-1
Adam_OWA,adam_owa,adam_owa,-1,33,-1,-1,-1
AlistorTheWolf,alistorthewolf,AlistorTheWolf,-1,-1,-1,66,-1
AllRatzGaming,allratzgaming,AllRatzGaming,-1,79,-1,-1,-1
AmberxAltF4,amberxaltf4,AmberxAltF4,17,17,-1,-1,-1
Animee_Arcade,animeearcade,AnimeeArcade,-1,-1,-1,5,-1
Arifrarii,arifrarii,Arifrarii,-1,33,-1,-1,-1
Ashura,ashura1300,ashuradeus,-1,-1,17,-1,-1
AuroTheAzure,aurotheazure,AuroTheAzure,17,17,-1,-1,-1
Aurox44,aurox44,Aurox44,17,9,9,-1,-1
ayoBuuk,ayobuuk,ayoBuuk,-1,-1,-1,3,-1
Azureite,azureite,Azureite,-1,-1,-1,33,-1
Bagoms,Bagoms,Bagoms,-1,17,17,33,-1
bahb,bahb,bahb,-1,17,1,-1,-1
Banjoforever,banjoforever,Banjoforever,33,33,9,17,-1
Bass4Zero,bass4zero,Bass4Zero,-1,-1,-1,66,-1
Bearlynewgaymer,bearlynewgaymer,BearlynewGaymer,-1,79,-1,66,-1
Bee,ayybeebaby,AyyBeeBaby,-1,-1,-1,66,-1
Belespr1t,belesprit,Belespr1t,33,79,-1,66,-1
BioRoxas,bioroxas,BioRoxas,-1,79,-1,66,-1
BloodBoltOmega,bloodboltomega,BloodBoltOmega,-1,-1,-1,33,-1
blu_flamingo411,blu_flamingo411,blu_flamingo411,5,-1,-1,-1,-1
BlueBleo,,BlueBleoGaming,-1,-1,-1,66,-1
BrandonGlovich,brandonglovich,brandonglovich,-1,-1,-1,9,-1
Bravidunno,bravidunno,BraviDunno,-1,79,-1,33,-1
Brisk Apollo,briskapollo,Brisk Apollo,-1,-1,-1,66,-1
