Player,Discord Name,Twitch Name,FF1 Placing,FF2 Placing,BB1 Placing,FF3 Placing,BB2 Placing,eligible,reason
_teejaay_,_teejaay_,teejaay1311,-1,-1,5,-1,-1,No,Bracket finalist in BB1 (Placed #5)
3ps1l0,3ps1l0n,3ps1l0,17,33,-1,33,-1,No,"Played in FF1, FF2, and FF3"
55Spyder,55Spyder,55Spyder,-1,79,-1,66,-1,Yes,Eligible for FF4
8bitmaster_,8bitmaster_,8bitmaster_,-1,79,-1,-1,-1,Yes,Eligible for FF4
a_Press,a_press,a_Press,5,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #5)
aBrinkk,abrinkk,aBrinkk,17,33,9,-1,-1,Yes,Eligible for FF4
Adam_OWA,adam_owa,adam_owa,-1,33,-1,-1,-1,Yes,Eligible for FF4
AlistorTheWolf,alistorthewolf,AlistorTheWolf,-1,-1,-1,66,-1,Yes,Eligible for FF4
AllRatzGaming,allratzgaming,AllRatzGaming,-1,79,-1,-1,-1,Yes,Eligible for FF4
AmberxAltF4,amberxaltf4,AmberxAltF4,17,17,-1,-1,-1,No,Made Top 32 in 2 FF Events
Animee_Arcade,animeearcade,AnimeeArcade,-1,-1,-1,5,-1,No,Top 32 in FF3 (Placed #5)
Arifrarii,arifrarii,Arifrarii,-1,33,-1,-1,-1,Yes,Eligible for FF4
Ashura,ashura1300,ashuradeus,-1,-1,17,-1,-1,Yes,Eligible for FF4
AuroTheAzure,aurotheazure,AuroTheAzure,17,17,-1,-1,-1,No,Made Top 32 in 2 FF Events
Aurox44,aurox44,Aurox44,17,9,9,-1,-1,No,Top 16 in FF2 (Placed #9)
ayoBuuk,ayobuuk,ayoBuuk,-1,-1,-1,3,-1,No,Top 32 in FF3 (Placed #3)
Azureite,azureite,Azureite,-1,-1,-1,33,-1,Yes,Eligible for FF4
Bagoms,Bagoms,Bagoms,-1,17,17,33,-1,Yes,Eligible for FF4
bahb,bahb,bahb,-1,17,1,-1,-1,No,Bracket finalist in BB1 (Placed #1)
Banjoforever,banjoforever,Banjoforever,33,33,9,17,-1,No,Top 32 in FF3 (Placed #17)
Bass4Zero,bass4zero,Bass4Zero,-1,-1,-1,66,-1,Yes,Eligible for FF4
Bearlynewgaymer,bearlynewgaymer,BearlynewGaymer,-1,79,-1,66,-1,Yes,Eligible for FF4
